"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.2mm_M3";4;"MountingHole_3.2mm_M3";;;
2;"J1,J11,J2";"PhoenixContact_MCV_1,5_2-G-5.08_1x02_P5.08mm_Vertical";3;"Conn_01x02_Female";;;
3;"J3";"PhoenixContact_MCV_1,5_4-G-5.08_1x04_P5.08mm_Vertical";1;"Conn_01x04_Female";;;
4;"L1";"L_12x12mm_H4.5mm";1;"15uH";;;
5;"K2,K1";"Relay_SPDT_Finder_36.11";2;"JOC-3FF";;;
6;"U3";"SEEED_113990105";1;"ESP8266_nodekit";;;
7;"J6,J4";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Female";;;
8;"U4";"SOIC127P600X175-8N";1;"MAX483E";;;
9;"U1,U2";"SMDIP-4_W7.62mm";2;"SFH617A-1";;;
10;"R5,R6,R3,R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"4K7";;;
11;"R13,R21,R20,R18,R17,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"1K 0.25W";;;
12;"D1,D2";"D_MELF";2;"D_Zener_Small";;;
13;"D6,D5";"D_0805_2012Metric";2;"1N914";;;
14;"C4";"C_0805_2012Metric";1;"CP1_Small";;;
15;"C1";"C_0805_2012Metric";1;"4.7uF 16V Tantalum";;;
16;"J5";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Top_Bottom";;;
17;"U5";"SOIC127P600X170-9N";1;"MP1584EN";;;
18;"SW2,SW1";"SW_SPST_B3U-1000P";2;"SW_Push";;;
19;"R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"24K";;;
20;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
21;"R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"200K";;;
22;"R19";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"SPARKFUN-RESISTORS_4.7KOHM-0603-1_10W-1%-Test";;;
23;"R16,R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"0";;;
24;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"62K";;;
25;"R12,R11,R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"R_Small_US";;;
26;"R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"470";;;
27;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.01K";;;
28;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20K";;;
29;"R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"15K";;;
30;"Q4,Q3";"SOT-23";2;"BC847";;;
31;"Q2,Q1";"SOT-23";2;"2N2219";;;
32;"J10,J9,J8,J7";"PhoenixContact_MCV_1,5_3-G-5.08_1x03_P5.08mm_Vertical";4;"Conn_01x03_Female";;;
33;"D4";"D_SMA";1;"B240A";;;
34;"D3";"LED_D3.0mm";1;"LED";;;
35;"C10";"C_1206_3216Metric";1;"4.7uF 50V Ceramic";;;
36;"C9";"C_0805_2012Metric";1;"0.1uF 50V Ceramic";;;
37;"C8";"C_0805_2012Metric";1;"100nF 16V";;;
38;"C7";"C_0805_2012Metric";1;"820p 50V Ceramic";;;
39;"C6";"C_0805_2012Metric";1;"2p 50V Ceramic";;;
40;"C5";"C_0805_2012Metric";1;"100n 50V Ceramic";;;
41;"C3";"C_0805_2012Metric";1;"680p 50V Ceramic";;;
42;"C2";"C_1206_3216Metric";1;"22uF 50V Ceramic";;;
